Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
headman,clans - tribes [n]: chef [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonize,colors [v]: s'accorder; aller bien ensemble; harmoniser; s'harmoniser; se marier,agreement [v]: harmoniser,music [v]: harmoniser,attune [v]: accorder; harmoniser,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony,relationship [n]: harmonie [f],music [n]: harmonie [f],congruity [n]: conformité [f]; consentement [m]; harmonie [f]; concordance [f]; accord [m]; entente [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
harness,horse [n]: harnais [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harp,music - instruments [n]: harpe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harpoon,small arms [n]: harpon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harpsichord,music - instruments [n]: clavecin [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harpy,mythology [n]: harpie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harridan,general [n]: vieille sorcière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrowing,cry [a]: déchirant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harsh,circumstances [a]: dur,substance [a]: rugueux,light [a]: éblouissant,words [a]: cru; grossier; indécent; vulgaire,character [a]: austère; sévère; rigide,sound [a]: âpre,action [a]: énergique; sévère; draconien,,,,,,,,,,,,,,,,,,,,,,,
harshly,education [o]: sévèrement; durement,punishment [o]: durement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harshly critical,person [a]: sévère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handiness,adroitness [n]: adresse [f]; dextérité [f]; habileté [f]; doigté [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handing over,goods [n]: livraison [f]; remise [f]; distribution [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand it to,say [v]: reconnaître que; admettre que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handiwork,skill [n]: travail [m] manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handkerchief,general [n]: mouchoir [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,culinary [n]: jambon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger,culinary [n]: hamburger [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham-handed,person [a]: maladroit; gauche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamlet,general [n]: hameau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer,tools [n]: marteau [m],carpentry [v]: donner des coups de marteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer and sickle,communism [n]: faucille [f] et marteau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer away at,subject [v]: insister sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammered,beaten [a]: martelé; forgé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer in,idea [v]: enfoncer à coups de marteau,movement [v]: planter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer out,metallurgy [v]: étendre au marteau,plan [v]: aplanir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammock,general [n]: hamac [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamper,laundry [n]: panier [m] à linge,container [n]: panier [m]; corbeille [f],obstacle [v]: gêner; entraver,activity [v]: gêner; entraver,clothing [v]: embarrasser,,,,,,,,,,,,,,,,,,,,,,,,,
hamster,zoology [n]: hamster [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamstring,anatomy [n]: tendon [m] du jarret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand,watch [n]: aiguille [f],anatomy [n]: main [f],profession - man [n]: ouvrier [m]; travailleur [m],profession - woman [n]: ouvrière [f]; travailleuse [f],objects [v]: passer; donner,,,,,,,,,,,,,,,,,,,,,,,,,
handbag,clothing - woman [n]: sac [m] à main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handball,games [n]: handball [m]; hand-ball [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handbill,advertising [n]: prospectus [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handbook,information [n]: manuel [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand brake,automobiles [n]: frein [m] à main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handcart,transport [n]: charrette [f] à bras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handcuff,crime [n]: menottes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handcuffs,crime [n]: menottes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand down,tradition [v]: transmettre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand over,message [v]: remettre entre les mains de,criminal [v]: livrer; vendre,deliver [v]: remettre; livrer,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand puppet,puppet theater [n]: marionnette [f]; marionnette [f] à gaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handrail,safety [n]: rampe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand round,papers [v]: faire passer; faire circuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand saw,tools [n]: scie [f] à main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handshake,greeting [n]: poignée [f] de main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handsome,quantity [a]: copieux; abondant; généreux; riche; libéral,person [a]: beau; gracieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handsomeness,person [n]: beauté [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handstand,sports - gymnastics [n]: arbre [m] droit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hands up,robbery [o]: haut les mains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,general [n]: écriture [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwritten,general [a]: manuscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handy,person [a]: adroit; habile; dextre,convenient [a]: commode; pratique,distance [o]: sous la main,,,,,,,,,,,,,,,,,,,,,,,,,,,
handyman,general [n]: factotum [m]; homme [m] à tout faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang,wall [v]: pendre,crime [v]: pendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangar,aviation [n]: hangar [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang around,general [v]: attendre,place [v]: flâner; traînasser; lambiner [informal]; musarder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang back,general [v]: hésiter; renâcler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang down,droop [v]: tomber; s'affaisser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanged person,man [n]: pendu [m],woman [n]: pendue [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanger,clothing [n]: cintre [m]; portemanteau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanger-on,politics [n]: parasite [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang glider,aviation [n]: deltaplane [m]; delta [m]; aile [f] volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang gliding,sports [n]: deltaplane [m]; vol [m] libre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang in,courage [v]: tenir bon; persévérer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a crush on,love [v]: être amoureux de; être épris de; avoir le béguin pour [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a date with,love [v]: avoir rendez-vous avec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a go,general [o]: essayer; tenter le coup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a good cry,behavior [v]: pleurer à chaudes larmes; pleurer un bon coup [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a good time,entertainment [v]: se distraire; s'amuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a high opinion of,person [v]: respecter; avoir du respect pour; ne jurer que par quelqu'un; avoir une haute opinion de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a keen mind,intelligence [v]: avoir l'esprit vif; avoir l'esprit prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a limp,physical condition [v]: boiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have all the luck,success [v]: être chanceux; être favorisé par la chance; être veinard [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a lucky streak,success [v]: avoir une période de chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a meeting,meeting [v]: se réunir; tenir séance; siéger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have an accident,accident [v]: avoir un accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have an affair,relationship [v]: avoir une liaison; avoir une aventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a nasty smell,odor [v]: puer; sentir mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a premonition,mental sensation [v]: pressentir; sentir; prévoir; entrevoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a relapse,disease [v]: rechuter; retomber malade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a shower,hygiene [v]: se doucher; prendre une douche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a smack of,impression [v]: sentir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a terrible fright,fear [v]: être complètement affolé; être paniqué; avoir une peur bleue; avoir la frousse [informal]; avoir la trouille [slang],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a thick skin,character [v]: avoir la peau dure; avoir une peau d'éléphant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have at one's disposal,possession [v]: tenir à la disposition de quelqu'un; disposer de,time [v]: avoir à sa disposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a vague feeling that,idea [v]: penser vaguement; avoir la vague impression; avoir comme une idée [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a vague idea that,idea [v]: penser vaguement; avoir la vague impression; avoir comme une idée [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a wash,person [v]: faire sa toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a way with,character [v]: savoir comment persuader; savoir comment s'y prendre avec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have bad luck,misfortune [v]: ne pas avoir de chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have bedsores,medicine [v]: avoir des escarres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have breakfast,meal - morning [v]: prendre le petit déjeuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have contact with,person [v]: maintenir le contact avec; être en rapport avec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have control over,feelings [v]: contrôler; maîtriser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have dinner,meal - evening [v]: dîner; souper,meal - noon [v]: déjeuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have done wrong,error [v]: avoir fait quelque chose de mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have enough,interest [v]: en avoir assez de; être excédé; en avoir marre de [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have enough of,feelings [v]: être fatigué de; en avoir assez de; en avoir marre de [informal]; en avoir plein le dos de [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have enough of it,interest [v]: être fatigué de; en avoir assez de; en avoir marre de [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have everything going for oneself,success [v]: avoir une période de chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have faith in,confidence [v]: croire; ajouter foi à; avoir confiance en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have fun,entertainment [v]: se distraire; s'amuser; rigoler [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have hallucinations,medicine [v]: avoir des hallucinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have in mind,intention [v]: avoir l'intention de; se proposer de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have it one's own way,satisfaction [v]: imposer sa volonté; n'en faire qu'à sa tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have it one's way,satisfaction [v]: imposer sa volonté; n'en faire qu'à sa tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have keen intelligence,intelligence [v]: avoir l'esprit vif; avoir l'esprit prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart-to-heart,conversation [a]: intime; à cœur ouvert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartwarming,feelings [a]: réconfortant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearty,general [a]: cordial,meal [a]: copieux; substantiel; abondant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat,animals - female [n]: œstrus [m]; cycle [m] œstral,temperature [n]: chaleur [f],general [v]: chauffer,,,,,,,,,,,,,,,,,,,,,,,,,,,
heated,discussion [a]: passionné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heater,apparatus [n]: appareil [m] de chauffage; chauffage [m]; radiateur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heath,nature [n]: lande [f]; bruyère [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haste,general [n]: hâte [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasten,event [v]: hâter,person [v]: se hâter; se dépêcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasten to do,general [v]: s'empresser de; s'activer à,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastily,haste [o]: en toute hâte; hâtivement; précipitamment; à toute vitesse; en quatrième vitesse [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastiness,action [n]: hâte [f]; précipitation [f],precipitance [n]: précipitation [f]; empressement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasty,departure [a]: précipité,decision [a]: irréfléchi; prématuré; hâtif; précipité,cursory [a]: rapide; superficiel; fait à la hâte,,,,,,,,,,,,,,,,,,,,,,,,,,,
hat,clothing [n]: chapeau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatch,passage [n]: trappe [f]; panneau [m] d'accès,door [n]: trappe [f]; panneau [m] d'accès,eggs [v]: éclore,drawing [v]: hachurer,ornithology [v]: couver,,,,,,,,,,,,,,,,,,,,,,,,,
hatchback,automobiles [n]: voiture [f] à hayon arrière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatchet,tools [n]: hachette [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatching,egg [n]: éclosion [f],drawing [n]: hachure [f],ornithology [n]: éclosion [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hatchway,passage [n]: trappe [f]; panneau [m] d'accès,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hate,emotional sensation [n]: haine [f],emotional condition [v]: haïr,feelings [v]: détester; abhorrer; haïr; répugner; abominer; avoir en abomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
hateful,despicable [a]: méprisable; détestable; odieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatless,general [a]: sans chapeau; tête nue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatrack,clothing [n]: patère [f]; cintre [m]; portemanteau [m]; porte-chapeaux [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatred,emotional sensation [n]: haine [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hat stand,furniture [n]: porte-chapeaux [m (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatter,profession - man [n]: chapelier [m],profession - woman [n]: chapelière [f]; modiste [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hat tree,clothing [n]: patère [f]; cintre [m]; portemanteau [m]; porte-chapeaux [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haughtiness,behavior [n]: arrogance [f]; orgueil [m]; prétention [f]; fierté [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haughty,behavior [a]: arrogant; hautain; altier; prétentieux; présomptueux; désinvolte; sans-gêne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
